Z,N,A,delta_E,movement,stable,boundary_hit,success
1,1,2,11.942229944041514,8.660254037844386,True,True,True
1,2,3,18.384058845373374,1.372957552903164,True,False,False
1,3,4,19.482504804489054,9.897959802244387,True,True,True
2,2,4,23.789961555386526,9.898026464928266,True,True,True
2,3,5,27.574276267357618,10.662348636233904,True,True,True
2,4,6,32.08913627454376,11.32444640614063,True,True,True
2,5,7,-3054794700.471156,11.925616157915018,False,True,False
2,6,8,39.52686894693761,12.134193647849793,True,True,True
3,3,6,37.951431049130406,10.681447768421862,True,True,False
3,4,7,39.479822326208705,11.927805655754241,True,True,True
3,5,8,-4216553943.108982,12.218164218007308,False,True,False
3,6,9,47.57113260444385,12.94579586760524,True,True,False
3,7,10,51.31396206096724,13.127889407530303,True,True,True
3,8,11,-6177925881.658286,13.832413357005235,False,True,False
3,9,12,50.42635148521367,13.891115276174448,True,True,False
4,4,8,49.06980026863448,12.430139548108434,True,True,False
4,5,9,52.328576562885246,12.684190409293675,True,True,True
4,6,10,42.38553355056865,13.426738843570458,True,True,True
4,7,11,62.12532544333226,13.170058776665957,True,True,False
4,8,12,51.75015677658848,13.88222723178618,True,True,False
4,9,13,67.18679445125872,14.636124361982272,True,True,False
4,10,14,34.714314974055014,14.558910282246707,True,True,False
4,11,15,78.9862461109069,15.11047004353748,True,True,False
4,12,16,63.998996406649894,15.673075223822279,True,True,False
5,5,10,29.106336359935085,0.46544826926163474,True,False,False
5,6,11,64.88866160659654,13.170416103396736,True,True,False
5,7,12,-444214956.2072257,14.241656971520484,False,True,False
5,8,13,72.6206817656157,13.592379972590878,True,True,False
5,9,14,82.67541213680124,14.958869782837969,True,True,False
5,10,15,82.83321450769836,15.37104535356258,True,True,False
5,11,16,87.28028277751855,15.68875713362433,True,True,False
5,12,17,74.2710720627565,16.023235480082228,True,True,True
5,13,18,74.26236877129486,16.06658995233632,True,True,True
5,14,19,94.39604793376748,16.15487434231489,True,True,False
5,15,20,88.98657536496466,16.40487436584131,True,True,True
6,6,12,73.91828409234495,13.76934921470966,True,True,False
6,7,13,78.70966842973303,14.658936030040534,True,True,False
6,8,14,67.1734754586505,15.014618628242332,True,True,False
6,9,15,-727808333.9704736,15.12645985155801,False,True,False
6,10,16,91.21691262462537,15.707549709766399,True,True,False
6,11,17,91.24050492867718,15.738056877438,True,True,False
6,12,18,97.10166667917474,16.033563525268317,True,True,False
6,13,19,104.12217825203516,16.0771639813299,True,True,False
6,14,20,83.90540909010451,16.7729903285527,True,True,False
6,15,21,101.35910427137969,6.80966927605189,True,False,False
6,16,22,116.65476430350645,17.08061874824313,True,True,False
6,17,23,119.41448841688725,16.675796190323183,True,True,False
6,18,24,115.8334817228606,17.469079289923513,True,True,False
7,7,14,-2997790674.9208007,14.29493278457099,False,True,False
7,8,15,87.67782759482543,15.36939063582881,True,True,False
7,9,16,94.35137584812401,15.68355940566636,True,True,False
7,10,17,96.11634490823417,15.739742529731863,True,True,False
7,11,18,93.22185983491909,15.931931839392623,True,True,False
7,12,19,105.68958445157114,16.269681800490726,True,True,False
7,13,20,111.62656291340681,16.07346869400922,True,True,False
7,14,21,104.25189775908984,16.839348484079284,True,True,False
7,15,22,121.62938718686746,17.19253545897192,True,True,False
7,16,23,124.36117863336585,16.753307498810834,True,True,False
7,17,24,120.87626535428717,17.488766829528124,True,True,False
7,18,25,129.83161597692924,18.014914069053855,True,True,False
7,19,26,135.20296243812845,16.98505442590812,True,True,False
7,20,27,135.59474706902984,18.435350056276715,True,True,False
7,21,28,146.55859522348692,18.92232678685261,True,True,True
8,8,16,97.42312168429089,15.691281689543533,True,True,False
8,9,17,99.20764029058046,15.310562143524082,True,True,True
8,10,18,89.35224226988248,16.202766283678162,True,True,True
8,11,19,107.63709666069553,15.855515766938135,True,True,False
8,12,20,91.25034419794247,16.91142572084719,True,True,False
8,13,21,106.81812443846138,17.05316730401804,True,True,False
8,14,22,120.96023161399717,16.869413182328987,True,True,False
8,15,23,124.11404308060992,16.2254464562737,True,True,False
8,16,24,112.81668147581877,17.27423976704354,True,True,False
8,17,25,-3565054199.184121,18.200222906469573,False,True,False
8,18,26,124.10243794478265,17.376435352222938,True,True,True
8,19,27,131.58084798802702,18.572109799627206,True,True,True
8,20,28,152.15019560787186,18.921858142835127,True,True,True
8,21,29,-147088302.42529234,18.26295491955174,False,True,False
8,22,30,143.96607480868806,18.95688189641247,True,True,False
8,23,31,-190024971.61738163,17.339145641879583,False,True,False
8,24,32,155.15340036567068,18.94751423613037,True,True,False
9,9,18,-1127790600.0526733,15.73592372251945,False,True,False
9,10,19,112.33965842584257,16.614123936777734,True,True,False
9,11,20,117.61683735315091,15.997873263678494,True,True,False
9,12,21,63.21241270930295,17.1501454713677,True,True,False
9,13,22,110.03159936385237,16.29663324463812,True,True,False
9,14,23,117.19487451274472,16.733129448379554,True,True,False
9,15,24,102.04208570204173,17.15715296926699,True,True,False
9,16,25,135.6043327999214,18.19229490693385,True,True,False
9,17,26,147.3021770477917,18.44437455381508,True,True,False
9,18,27,147.85575794030592,18.55374247428413,True,True,False
9,19,28,150.18673301130548,18.409669944955024,True,True,False
9,20,29,124.80985259034424,19.05425801339531,True,True,False
9,21,30,-1266113193.8315024,19.079220350125055,False,True,False
9,22,31,157.61130316878734,18.793122698472846,True,True,False
9,23,32,171.48239858872148,19.79136332384542,True,True,False
9,24,33,-2565808326.693643,19.728619825941045,False,True,False
9,25,34,188.98292199279422,20.170160414743783,True,True,False
9,26,35,187.03541645866062,20.076758919382957,True,True,False
9,27,36,176.17351322154354,20.026922089990236,True,True,True
10,10,20,93.58572871741671,16.508628691331175,True,True,False
10,11,21,124.66507585282307,16.021229316600778,True,True,False
10,12,22,112.07897574082926,16.58561657548009,True,True,False
10,13,23,125.9486104198968,17.47302010903426,True,True,True
10,14,24,115.75793462651563,17.51854193525243,True,True,False
